2020-08-28 21:33:57.514152	MemTotal	65945364
2020-08-28 21:33:57.514152	MemFree	416308
2020-08-28 21:33:57.514152	MemAvailable	60047332
2020-08-28 21:33:57.514152	Buffers	224480
2020-08-28 21:33:57.514152	Cached	62957924
2020-08-28 21:33:57.514152	SwapCached	7092
2020-08-28 21:33:57.514152	Active	13129876
2020-08-28 21:33:57.514152	Inactive	50083732
2020-08-28 21:33:57.514152	Active(anon)	4108744
2020-08-28 21:33:57.514152	Inactive(anon)	230660
2020-08-28 21:33:57.514152	Active(file)	9021132
2020-08-28 21:33:57.514152	Inactive(file)	49853072
2020-08-28 21:33:57.514152	Unevictable	10332
2020-08-28 21:33:57.514152	Mlocked	10332
2020-08-28 21:33:57.514152	SwapTotal	33554428
2020-08-28 21:33:57.514152	SwapFree	33403132
2020-08-28 21:33:57.514152	Dirty	628
2020-08-28 21:33:57.514152	Writeback	0
2020-08-28 21:33:57.514152	AnonPages	40284
2020-08-28 21:33:57.514152	Mapped	4330340
2020-08-28 21:33:57.514152	Shmem	4303636
2020-08-28 21:33:57.514152	Slab	1743000
2020-08-28 21:33:57.514152	SReclaimable	1482152
2020-08-28 21:33:57.514152	SUnreclaim	260848
2020-08-28 21:33:57.514152	KernelStack	8112
2020-08-28 21:33:57.514152	PageTables	31236
2020-08-28 21:33:57.514152	NFS_Unstable	0
2020-08-28 21:33:57.514152	Bounce	0
2020-08-28 21:33:57.514152	WritebackTmp	0
2020-08-28 21:33:57.514152	CommitLimit	66527108
2020-08-28 21:33:57.514152	Committed_AS	5105536
2020-08-28 21:33:57.514152	VmallocTotal	34359738367
2020-08-28 21:33:57.514152	VmallocUsed	0
2020-08-28 21:33:57.514152	VmallocChunk	0
2020-08-28 21:33:57.514152	HardwareCorrupted	0
2020-08-28 21:33:57.514152	AnonHugePages	0
2020-08-28 21:33:57.514152	ShmemHugePages	0
2020-08-28 21:33:57.514152	ShmemPmdMapped	0
2020-08-28 21:33:57.514152	CmaTotal	0
2020-08-28 21:33:57.514152	CmaFree	0
2020-08-28 21:33:57.514152	HugePages_Total	0
2020-08-28 21:33:57.514152	HugePages_Free	0
2020-08-28 21:33:57.514152	HugePages_Rsvd	0
2020-08-28 21:33:57.514152	HugePages_Surp	0
2020-08-28 21:33:57.514152	Hugepagesize	2048
2020-08-28 21:33:57.514152	DirectMap4k	2430512
2020-08-28 21:33:57.514152	DirectMap2M	61446144
2020-08-28 21:33:57.514152	DirectMap1G	4194304
2020-08-28 21:33:58.515334	MemTotal	65945364
2020-08-28 21:33:58.515334	MemFree	472120
2020-08-28 21:33:58.515334	MemAvailable	59954120
2020-08-28 21:33:58.515334	Buffers	224792
2020-08-28 21:33:58.515334	Cached	62818388
2020-08-28 21:33:58.515334	SwapCached	7060
2020-08-28 21:33:58.515334	Active	13232036
2020-08-28 21:33:58.515334	Inactive	49870704
2020-08-28 21:33:58.515334	Active(anon)	4131748
2020-08-28 21:33:58.515334	Inactive(anon)	239372
2020-08-28 21:33:58.515334	Active(file)	9100288
2020-08-28 21:33:58.515334	Inactive(file)	49631332
2020-08-28 21:33:58.515334	Unevictable	10332
2020-08-28 21:33:58.515334	Mlocked	10332
2020-08-28 21:33:58.515334	SwapTotal	33554428
2020-08-28 21:33:58.515334	SwapFree	33403132
2020-08-28 21:33:58.515334	Dirty	1836
2020-08-28 21:33:58.515334	Writeback	152
2020-08-28 21:33:58.515334	AnonPages	72132
2020-08-28 21:33:58.515334	Mapped	4335156
