2020-08-28 21:33:57.520661	procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
2020-08-28 21:33:57.520715	 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
2020-08-28 21:33:57.520796	 2  0 151296 415308 224620 64440556    0    0  2928  5597    7    5  7  3 85  5  0
2020-08-28 21:33:58.521116	 9 13 151296 469144 224792 64297704    0    0 184100 321324 44722 350816 21 13 27 39  0
2020-08-28 21:33:59.521403	10 15 151296 437400 224792 64279664    0    0 183944 323328 44611 347180 20 13 27 40  0
2020-08-28 21:34:00.521702	11  8 151296 399952 224792 64271832    0    0 185200 321736 43848 344382 21 11 26 42  0
2020-08-28 21:34:01.522024	12 13 151296 398464 224800 64245436    0    0 185272 320596 43836 343272 21 12 26 42  0
2020-08-28 21:34:02.522303	 6 19 151296 516364 224800 64115284    8    0 183784 318152 43512 340959 20 12 25 43  0
2020-08-28 21:34:03.522681	 8 16 151296 522184 224800 64107268    0    0 185352 317240 44752 341231 20 12 26 41  0
2020-08-28 21:34:04.522958	 7 18 151296 481676 224808 64148384    0    0 139228 533064 65934 260030 16 10 32 42  0
2020-08-28 21:34:05.523227	 5 19 151296 394568 224808 64237188    0    0 115760 552880 68406 216981 14  8 36 42  0
2020-08-28 21:34:06.523512	 7 18 151296 569920 224816 64059216    0    0 111172 532588 69235 208784 13  8 37 42  0
2020-08-28 21:34:07.523934	 5 15 151296 397588 224816 64228852    0    0 110032 528400 67556 207344 13  8 37 43  0
2020-08-28 21:34:08.524224	 9 10 151296 457816 224816 64170084    0    0 115840 485840 63607 216748 13  8 37 42  0
2020-08-28 21:34:09.524544	 9 15 151296 443332 224828 64184768    0    0 162524 353312 46370 298279 18 10 27 45  0
2020-08-28 21:34:10.524850	17  8 151296 429696 224828 64198240    0    0 168984 285136 38991 310359 18 10 27 45  0
2020-08-28 21:34:11.525124	 8  9 151296 402044 224836 64224408    0    0 165344 276148 38395 303818 17 10 28 45  0
2020-08-28 21:34:12.525402	 1  4 151296 496280 224836 64131596    0    0 133392 299360 40911 246776 15  9 36 41  0
2020-08-28 21:34:13.525786	 2 14 151296 408016 224840 64218612    0    0 79380 372036 47141 151677  8  6 46 40  0
2020-08-28 21:34:14.526063	 3 19 151296 472752 224840 64154528    0    0 80316 361736 46807 154075  9  5 46 40  0
2020-08-28 21:34:15.526334	 3 21 151296 412488 224840 64215244    0    0 78860 377336 51162 149776  8  6 47 39  0
2020-08-28 21:34:16.526668	 4  7 151296 474396 224848 64152384    0    0 78232 370692 50891 150134  9  6 46 39  0
2020-08-28 21:34:17.526955	 8 12 151296 402808 224848 64224412    0    0 78240 359088 48499 150340  9  6 47 38  0
2020-08-28 21:34:18.527042	procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
2020-08-28 21:34:18.527125	 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
2020-08-28 21:34:18.527258	 1  9 151296 445196 224848 64181344    0    0 77704 345456 46951 146254  9  6 46 39  0
2020-08-28 21:34:19.527534	15  9 151296 395732 224848 64232548    0    0 79612 338688 46612 151621  9  5 46 40  0
2020-08-28 21:34:20.527863	 4 14 151296 485784 224876 64141580    0    0 140020 257272 34071 260174 15  9 38 37  0
2020-08-28 21:34:21.528143	 5 16 151296 478964 224884 64149136    0    0 150556 245604 34517 277248 14  8 34 43  0
2020-08-28 21:34:22.528435	 6 18 151296 400100 224884 64227336    0    0 150784 245560 34524 278395 16  9 33 42  0
2020-08-28 21:34:23.528885	 9  7 151296 426760 224884 64200084    0    8 142696 263160 36721 263538 16  9 35 40  0
2020-08-28 21:34:24.529189	 1 23 151296 536064 224884 64091188    0    0 79564 355096 45337 151999  9  6 45 40  0
2020-08-28 21:34:25.529466	 0 16 151296 423988 224884 64203608    0    0 95840 411280 51465 182356 10  7 40 43  0
2020-08-28 21:34:26.529790	16  8 151296 414456 224892 64212124    0    0 81148 384348 50867 154830  9  6 44 41  0
2020-08-28 21:34:27.530086	 3 15 151296 491208 224892 64135832    0    0 80632 384560 52006 154690  8  5 45 41  0
2020-08-28 21:34:28.530363	12  8 151296 460348 224892 64165992    0    0 83560 388592 51251 161009  9  6 43 43  0
2020-08-28 21:34:29.530767	10  4 151296 538192 224892 64087964    0    0 78084 364992 49052 146957  8  5 45 42  0
2020-08-28 21:34:30.531048	 6 20 151296 443384 224896 64183728    0    0 78512 343288 46593 151222  9  5 45 41  0
2020-08-28 21:34:31.531421	 3 16 151296 429200 224904 64197344    0    0 152716 246204 34390 280742 17  9 34 40  0
2020-08-28 21:34:32.531694	 0  2 151296 480040 224908 64147304    8    0 154940 250376 35437 285835 17  9 34 40  0
2020-08-28 21:34:33.531974	 0 24 151296 464168 224908 64163880    0    0 153100 247368 34939 283378 15 10 34 41  0
2020-08-28 21:34:34.532308	 0  9 151296 475972 224908 64150332    0    0 140712 268344 37424 259976 14  8 37 41  0
2020-08-28 21:34:35.532582	 0  7 151296 471284 224908 64154476    0    0 75772 338760 43925 143779  9  5 48 38  0
2020-08-28 21:34:36.532847	 4 21 151296 406744 224920 64220168    0    0 75668 336732 43121 146150  8  5 45 42  0
2020-08-28 21:34:37.533237	10 14 151552 509104 224920 64118076    0    4 72192 354084 46675 140680  8  6 46 40  0
2020-08-28 21:34:38.533522	 4 13 151552 426268 224920 64201144    0    0 80592 372864 50338 154440  9  6 46 40  0
2020-08-28 21:34:39.533602	procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
2020-08-28 21:34:39.533675	 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
2020-08-28 21:34:39.533853	 0 13 151552 540988 224920 64084948    0    8 105604 480056 61570 196737 11  7 38 43  0
2020-08-28 21:34:40.534158	 5 20 151552 440344 224920 64186212    0    0 100820 448088 59141 190810 12  7 38 42  0
2020-08-28 21:34:41.534541	 3 14 151552 407440 224932 64218548    0    4 101616 344712 45613 195494 11  6 40 43  0
2020-08-28 21:34:42.534857	15  9 151552 450872 224932 64174244    0    0 117328 241680 30000 271721 17  9 39 35  0
2020-08-28 21:34:43.535126	 7 12 151552 396196 224932 64228824    0    0 124448 236168 30390 268022 16  8 37 39  0
2020-08-28 21:34:44.535455	 4 14 151552 417400 224936 64208340    4    0 129776 238268 30942 264231 15  8 36 41  0
2020-08-28 21:34:45.535748	 0 14 151552 446420 224936 64179136    0    0 104768 264640 35644 216020 13  8 41 39  0
2020-08-28 21:34:46.536032	 6 10 151552 525088 225092 64099200    0    0 71720 348660 43748 150413  9  6 47 38  0
2020-08-28 21:34:47.536367	 0 23 151552 439708 225092 64183608    0    0 82784 434888 51964 172766 11  7 41 41  0
2020-08-28 21:34:48.536676	 3 18 151552 507940 225092 64117312    0    0 84176 435248 56003 175823 11  6 43 40  0
2020-08-28 21:34:49.536946	 1  7 151552 446828 225092 64176588    0    0 59804 304416 40658 136930  8  5 52 35  0
2020-08-28 21:34:50.537247	 2  3 151552 528760 225092 64095304    0    0 50912 314184 41145 124964  7  5 54 33  0
2020-08-28 21:34:51.537566	 0  8 151552 476524 225100 64147444    0    0 50968 303016 40735 123348  7  5 53 34  0
